Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,BE Trigger (+1.9R),Parcial (2.0R),Direção,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2023-10-02 08:00,LINK,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),130.9,$8.0360,$7.4863 (6.84%),$8.8607,$8.8607,LONG,2023-10-02 16:00,$7.4803,Stop Loss Inicial,"R$ -2,584.25","R$ 97,415.75"
2023-10-02 20:00,AAVE,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),134.5,$69.7949,$65.1518 (6.65%),$76.7595,$76.7595,LONG,2023-10-03 12:00,$65.0997,Stop Loss Inicial,"R$ -2,523.87","R$ 94,891.88"
2023-10-06 04:00,AAVE,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),109.4,$67.6138,$62.2047 (8.00%),$75.7274,$75.7274,LONG,2023-10-09 16:00,$62.1549,Stop Loss Inicial,"R$ -2,468.18","R$ 92,423.71"
2023-10-06 00:00,STORJ,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),112.5,$0.4472,$0.4477 (8.00%),$0.5009,$0.5009,LONG,2023-10-09 04:00 | 2023-10-10 12:00,$0.5009 | $0.4473,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),"R$ +1,702.05","R$ 94,125.75"
2023-10-04 08:00,TRX,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),109.4,$0.0894,$0.0851 (4.76%),$0.0958,$0.0958,LONG,2023-10-12 08:00,$0.0851,Stop Loss Inicial,"R$ -2,601.47","R$ 91,524.28"
2023-10-10 16:00,SFP,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),105.8,$0.6130,$0.5733 (6.48%),$0.6726,$0.6726,LONG,2023-10-12 16:00,$0.5728,Stop Loss Inicial,"R$ -2,452.56","R$ 89,071.72"
2023-10-14 08:00,ETH,Short Bear (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),118.3,$1546.5763,$1600.7065 (3.50%),$1465.3811,$1465.3811,SHORT,2023-10-16 12:00,$1601.9871,Stop Loss Inicial (SHORT),"R$ -2,341.38","R$ 86,730.34"
2023-10-29 04:00,BLUR,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),117.0,$0.2337,$0.2340 (8.00%),$0.2618,$0.2618,LONG,2023-10-31 12:00,$0.2338,Stop Breakeven (0x0),R$ -28.12,"R$ 86,702.22"
2023-10-29 12:00,TRB,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),138.8,$104.4222,$104.5266 (8.00%),$116.9528,$116.9528,LONG,2023-10-30 08:00 | 2023-11-02 12:00,$116.9528 | $104.4430,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ +791.88,"R$ 87,494.10"
2023-11-03 16:00,TRB,Trend Following (BE 1.9R / 50% 2.0R / Runner 50% EMA50 1D),104.5,$114.2871,$114.4014 (8.00%),$128.0016,$128.0016,LONG,2023-11-06 16:00 | 2023-11-09 16:00,$128.0016 | $114.3099,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),"R$ +1,580.18","R$ 89,074.27"
